Uganda|KANUNGU|KINKIIZI|NYAKINONI|KARUBEIZI|BUHUMULIRO
Uganda|KANUNGU|KINKIIZI|NYAKINONI|KARUBEIZI|KAMUSHWA
Uganda|KANUNGU|KINKIIZI|NYAKINONI|KARUBEIZI|MURUHURA
Uganda|KANUNGU|KINKIIZI|NYAKINONI|KARUBEIZI|NYAMABALE
Uganda|KANUNGU|KINKIIZI|NYAKINONI|KARUBEIZI|NYAMIYAGA
Uganda|KANUNGU|KINKIIZI|NYAKINONI|KARUBEIZI|MUKIBUNGO
Uganda|KANUNGU|KINKIIZI|NYAKINONI|KARUBEIZI|OMUKIRWA
Uganda|KANUNGU|KINKIIZI|NYAKINONI|KARUBEIZI|RWAMAHAMBA
Uganda|KANUNGU|KINKIIZI|NYAKINONI|KARUBEIZI|RWANGOBOKA
Uganda|KANUNGU|KINKIIZI|NYAKINONI|NYAKINONI|KARONDE
Uganda|KANUNGU|KINKIIZI|NYAKINONI|NYAKINONI|MPANGANGO
Uganda|KANUNGU|KINKIIZI|NYAKINONI|NYAKINONI|NYAKINONI
Uganda|KANUNGU|KINKIIZI|NYAKINONI|SAMARIA|BUSHOGYE A
Uganda|KANUNGU|KINKIIZI|NYAKINONI|SAMARIA|BUSHOGYE B
Uganda|KANUNGU|KINKIIZI|NYAKINONI|SAMARIA|KIRURUMA
Uganda|KANUNGU|KINKIIZI|NYAKINONI|SAMARIA|NYAKARAMBI
Uganda|KANUNGU|KINKIIZI|NYAKINONI|SAMARIA|NYAKASHURE
Uganda|KANUNGU|KINKIIZI|NYAKINONI|SAMARIA|SAMARIA
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|KIGARAMA|AHAKIBUNGO
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|KIGARAMA|KARONI
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|KIGARAMA|SAMARIA
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|KIGARAMA|MUKIRWA
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|MASHAKU|KAYENJE
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|MASHAKU|KAZINDIRO
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|MASHAKU|MASHAKU  I
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|MASHAKU|MASHAKU  II
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|MASHAKU|RWEMISHINYA
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NTUNGWA|KAGUNGA
